[ 2026-02-08 12:54:14,820 ] 22 root - INFO - Loading the csv file
[ 2026-02-08 12:54:15,318 ] 24 root - INFO - Dataset loaded successfully
[ 2026-02-08 12:54:16,675 ] 27 root - INFO - Dataset stored successfully
[ 2026-02-08 12:54:16,676 ] 40 root - INFO - Null values removed successfully
[ 2026-02-08 12:54:16,897 ] 50 root - INFO - Duplicates dropped successfully
[ 2026-02-08 12:54:16,919 ] 52 root - INFO - Price with 0 values removed successfully
[ 2026-02-08 12:54:16,944 ] 54 root - INFO - Quantity with -ve values removed successfully
[ 2026-02-08 12:54:17,347 ] 57 root - INFO - Invoice date handled successfully
[ 2026-02-08 12:54:17,370 ] 59 root - INFO - TotalPrice column added successfully
[ 2026-02-08 12:54:19,672 ] 45 root - INFO - RFM table created successfully
[ 2026-02-08 12:54:19,695 ] 48 root - INFO - Dataset loaded successfully
[ 2026-02-08 12:54:21,484 ] 52 root - INFO - WCSS calculated successfully
[ 2026-02-08 12:54:24,623 ] 54 root - INFO - Silhouette Score calculated successfully
[ 2026-02-08 12:54:24,623 ] 56 root - INFO - KMeans initialized successfully
[ 2026-02-08 12:54:24,626 ] 59 root - INFO - Labels added into RFM dataframe
