CustomerID,Recency,Frequency,Monetary,Cluster,ClusterName
12346.0,325,1,77183.6,0,Churn User
12347.0,129,7,4310.0,0,Churn User
12348.0,74,4,1797.24,0,Churn User
12349.0,18,1,1757.55,0,Churn User
12350.0,309,1,334.4,0,Churn User
12352.0,71,8,2506.04,0,Churn User
12353.0,203,1,89.0,0,Churn User
12354.0,231,1,1079.4,0,Churn User
12355.0,213,1,459.4,0,Churn User
12356.0,245,3,2811.43,0,Churn User
12357.0,32,1,6207.67,0,Churn User
12358.0,150,2,1168.06,0,Churn User
12359.0,189,4,6310.03,0,Churn User
12360.0,112,3,2662.06,0,Churn User
12361.0,286,1,189.9,0,Churn User
12362.0,72,10,5226.23,0,Churn User
12363.0,109,2,552.0,0,Churn User
12364.0,77,4,1313.1,0,Churn User
12365.0,290,2,641.38,0,Churn User
12367.0,3,1,168.9,0,Churn User
12370.0,274,4,3541.94,0,Churn User
12371.0,44,2,1887.96,0,Churn User
12372.0,71,3,1298.04,0,Churn User
12373.0,310,1,364.6,0,Churn User
12374.0,24,1,742.9300000000001,0,Churn User
12375.0,97,2,457.5,0,Churn User
12377.0,354,2,1628.12,0,Churn User
12378.0,129,1,4008.62,0,Churn User
12379.0,81,2,852.24,0,Churn User
12380.0,77,4,2724.81,0,Churn User
12381.0,119,5,1845.31,0,Churn User
12383.0,184,5,1850.56,0,Churn User
12384.0,121,2,585.27,0,Churn User
12386.0,366,2,401.9,0,Churn User
12388.0,75,6,2780.66,0,Churn User
12390.0,79,1,549.84,0,Churn User
12391.0,21,1,439.66,0,Churn User
12393.0,71,4,1582.6000000000001,0,Churn User
12394.0,216,2,1272.48,0,Churn User
12395.0,111,12,3018.63,0,Churn User
12397.0,134,2,2409.9,0,Churn User
12398.0,45,1,1635.6599999999999,0,Churn User
12399.0,118,4,1108.65,0,Churn User
12401.0,302,1,84.3,0,Churn User
12402.0,322,1,225.6,0,Churn User
12403.0,49,1,427.7,0,Churn User
12405.0,148,1,1710.39,0,Churn User
12406.0,183,2,3415.3,0,Churn User
12407.0,156,5,1708.1200000000001,0,Churn User
